['Try', '146,', 'CPU', '4,', 'CC', 'All/Weak', '19.8', '/', '14.7,', 'CFOM', '34.5,', 'best', '39.2,', 'PATFOM', '48.61']
['Try', '147,', 'CPU', '2,', 'CC', 'All/Weak', '19.9', '/', '14.8,', 'CFOM', '34.7,', 'best', '39.2,', 'PATFOM', '49.75']
['Try', '148,', 'CPU', '5,', 'CC', 'All/Weak', '19.8', '/', '14.7,', 'CFOM', '34.5,', 'best', '39.2,', 'PATFOM', '48.61']
['Try', '149,', 'CPU', '12,', 'CC', 'All/Weak', '19.8', '/', '15.2,', 'CFOM', '35.0,', 'best', '39.2,', 'PATFOM', '49.75']
['Try', '150,', 'CPU', '9,', 'CC', 'All/Weak', '21.4', '/', '16.9,', 'CFOM', '38.3,', 'best', '39.2,', 'PATFOM', '49.32']
['Try', '151,', 'CPU', '14,', 'CC', 'All/Weak', '19.3', '/', '15.0,', 'CFOM', '34.2,', 'best', '39.2,', 'PATFOM', '47.21']
['Try', '152,', 'CPU', '10,', 'CC', 'All/Weak', '21.7', '/', '16.7,', 'CFOM', '38.4,', 'best', '39.2,', 'PATFOM', '50.98']
['Try', '153,', 'CPU', '7,', 'CC', 'All/Weak', '19.8', '/', '15.2,', 'CFOM', '35.0,', 'best', '39.2,', 'PATFOM', '49.75']
['Try', '154,', 'CPU', '11,', 'CC', 'All/Weak', '20.2', '/', '15.6,', 'CFOM', '35.8,', 'best', '39.2,', 'PATFOM', '53.07']
['Try', '155,', 'CPU', '8,', 'CC', 'All/Weak', '19.8', '/', '14.8,', 'CFOM', '34.5,', 'best', '39.2,', 'PATFOM', '48.61']
['Try', '156,', 'CPU', '13,', 'CC', 'All/Weak', '21.0', '/', '16.5,', 'CFOM', '37.5,', 'best', '39.2,', 'PATFOM', '49.11']
['Try', '157,', 'CPU', '16,', 'CC', 'All/Weak', '21.5', '/', '17.0,', 'CFOM', '38.5,', 'best', '39.2,', 'PATFOM', '50.98']
['Try', '158,', 'CPU', '6,', 'CC', 'All/Weak', '21.0', '/', '16.5,', 'CFOM', '37.5,', 'best', '39.2,', 'PATFOM', '49.11']
['Try', '159,', 'CPU', '15,', 'CC', 'All/Weak', '19.7', '/', '15.1,', 'CFOM', '34.9,', 'best', '39.2,', 'PATFOM', '49.75']
['Try', '160,', 'CPU', '3,', 'CC', 'All/Weak', '21.2', '/', '16.6,', 'CFOM', '37.8,', 'best', '39.2,', 'PATFOM', '49.32']
['Try', '161,', 'CPU', '1,', 'CC', 'All/Weak', '21.0', '/', '16.5,', 'CFOM', '37.5,', 'best', '39.2,', 'PATFOM', '49.11']
['Try', '162,', 'CPU', '4,', 'CC', 'All/Weak', '19.9', '/', '15.2,', 'CFOM', '35.2,', 'best', '39.2,', 'PATFOM', '49.75']
['Try', '163,', 'CPU', '2,', 'CC', 'All/Weak', '21.2', '/', '16.7,', 'CFOM', '37.9,', 'best', '39.2,', 'PATFOM', '49.32']
['Try', '164,', 'CPU', '5,', 'CC', 'All/Weak', '19.8', '/', '15.2,', 'CFOM', '35.0,', 'best', '39.2,', 'PATFOM', '49.75']
['Try', '165,', 'CPU', '12,', 'CC', 'All/Weak', '21.5', '/', '17.0,', 'CFOM', '38.5,', 'best', '39.2,', 'PATFOM', '53.17']
['Try', '166,', 'CPU', '9,', 'CC', 'All/Weak', '20.0', '/', '14.9,', 'CFOM', '34.9,', 'best', '39.2,', 'PATFOM', '48.18']
['Try', '167,', 'CPU', '14,', 'CC', 'All/Weak', '19.8', '/', '14.7,', 'CFOM', '34.5,', 'best', '39.2,', 'PATFOM', '49.75']
['Try', '168,', 'CPU', '10,', 'CC', 'All/Weak', '21.0', '/', '16.5,', 'CFOM', '37.5,', 'best', '39.2,', 'PATFOM', '49.11']
['Try', '169,', 'CPU', '7,', 'CC', 'All/Weak', '19.7', '/', '14.9,', 'CFOM', '34.6,', 'best', '39.2,', 'PATFOM', '49.29']
['Try', '170,', 'CPU', '11,', 'CC', 'All/Weak', '21.4', '/', '16.4,', 'CFOM', '37.9,', 'best', '39.2,', 'PATFOM', '49.11']
